頻出単語,登場回数,登場回数/全単語数(31937)%,登場レビュー率 /(113本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
大間,11,0.03,7.89,0.09,1.22
ノド,11,0.03,4.38,0.09,2.2
グロ,11,0.03,4.38,0.09,2.2
鯖,11,0.03,5.26,0.09,1.83
限定,11,0.03,9.64,0.09,1.0
残っ,11,0.03,8.77,0.09,1.1
ど,11,0.03,6.14,0.09,1.57
あまり,11,0.03,9.64,0.09,1.0
いくら,11,0.03,8.77,0.09,1.1
すぎる,11,0.03,9.64,0.09,1.0
絶妙,11,0.03,5.26,0.09,1.83
聞い,11,0.03,7.89,0.09,1.22
おまかせ,11,0.03,6.14,0.09,1.57
本木,11,0.03,5.26,0.09,1.83
普通,11,0.03,7.89,0.09,1.22
７,11,0.03,3.5,0.09,2.75
30,11,0.03,7.01,0.09,1.37
つい,11,0.03,9.64,0.09,1.0
黒,11,0.03,7.01,0.09,1.37
あれ,11,0.03,6.14,0.09,1.57
たち,11,0.03,7.89,0.09,1.22
お茶,11,0.03,7.01,0.09,1.37
ブログ,11,0.03,7.01,0.09,1.37
http,11,0.03,7.89,0.09,1.22
意味,11,0.03,8.77,0.09,1.1
チラシ,11,0.03,4.38,0.09,2.2
一緒,11,0.03,7.89,0.09,1.22
ただ,11,0.03,5.26,0.09,1.83
評価,11,0.03,7.89,0.09,1.22
縞,11,0.03,6.14,0.09,1.57
是非,11,0.03,9.64,0.09,1.0
技,11,0.03,6.14,0.09,1.57
半,11,0.03,7.89,0.09,1.22
ほか,11,0.03,4.38,0.09,2.2
若い,10,0.03,7.01,0.08,1.25
状態,10,0.03,7.89,0.08,1.11
結構,10,0.03,6.14,0.08,1.42
レベル,10,0.03,8.77,0.08,1.0
小,10,0.03,6.14,0.08,1.42
頭,10,0.03,7.89,0.08,1.11
超,10,0.03,7.01,0.08,1.25
ぶり,10,0.03,4.38,0.08,2.0
たくさん,10,0.03,8.77,0.08,1.0
7,10,0.03,7.01,0.08,1.25
見た目,10,0.03,6.14,0.08,1.42
のっ,10,0.03,7.89,0.08,1.11
美味い,10,0.03,4.38,0.08,2.0
変化,10,0.03,7.89,0.08,1.11
入,10,0.03,7.01,0.08,1.25
お客様,10,0.03,6.14,0.08,1.42
入り,10,0.03,7.89,0.08,1.11
もらい,10,0.03,7.01,0.08,1.25
強い,10,0.03,7.89,0.08,1.11
巻,10,0.03,7.01,0.08,1.25
電話,10,0.03,7.89,0.08,1.11
新鮮,10,0.03,7.89,0.08,1.11
ヅケ,10,0.03,7.01,0.08,1.25
個人,10,0.03,8.77,0.08,1.0
忘れ,10,0.03,8.77,0.08,1.0
テーブル,10,0.03,8.77,0.08,1.0
中落ち,10,0.03,5.26,0.08,1.66
らし,10,0.03,5.26,0.08,1.66
藤永,10,0.03,6.14,0.08,1.42
やや,10,0.03,7.01,0.08,1.25
性,10,0.03,7.01,0.08,1.25
進化,10,0.03,6.14,0.08,1.42
量,10,0.03,6.14,0.08,1.42
言わ,10,0.03,8.77,0.08,1.0
5775,10,0.03,6.14,0.08,1.42
平目,10,0.03,4.38,0.08,2.0
任せ,10,0.03,7.01,0.08,1.25
無し,10,0.03,7.89,0.08,1.11
られる,10,0.03,7.89,0.08,1.11
言う,10,0.03,5.26,0.08,1.66
ほ,10,0.03,3.5,0.08,2.5
者,10,0.03,6.14,0.08,1.42
ヒルズ,10,0.03,7.89,0.08,1.11
確か,10,0.03,6.14,0.08,1.42
期待,10,0.03,7.89,0.08,1.11
づ,10,0.03,0.87,0.08,10.0
ち,10,0.03,1.75,0.08,5.0
先,9,0.02,7.89,0.07,1.0
硬,9,0.02,4.38,0.07,1.8
上品,9,0.02,6.14,0.07,1.28
本日,9,0.02,7.01,0.07,1.12
違う,9,0.02,7.89,0.07,1.0
入れる,9,0.02,7.01,0.07,1.12
自体,9,0.02,5.26,0.07,1.5
強め,9,0.02,5.26,0.07,1.5
変わっ,9,0.02,5.26,0.07,1.5
わかり,9,0.02,7.89,0.07,1.0
[,9,0.02,1.75,0.07,4.5
階段,9,0.02,7.89,0.07,1.0
大変,9,0.02,6.14,0.07,1.28
