頻出単語,登場回数,登場回数/全単語数(11304)%,登場レビュー率 /(37本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
タイミング,3,0.02,7.89,0.07,1.0
汗,3,0.02,2.63,0.07,3.0
飲み物,3,0.02,7.89,0.07,1.0
料金,3,0.02,7.89,0.07,1.0
ココ,3,0.02,5.26,0.07,1.5
舞台,3,0.02,7.89,0.07,1.0
とっても,3,0.02,7.89,0.07,1.0
気さく,3,0.02,7.89,0.07,1.0
基本,3,0.02,7.89,0.07,1.0
スマ,3,0.02,5.26,0.07,1.5
ホ,3,0.02,5.26,0.07,1.5
無音,3,0.02,7.89,0.07,1.0
カメラ,3,0.02,7.89,0.07,1.0
撮っ,3,0.02,7.89,0.07,1.0
構え,3,0.02,7.89,0.07,1.0
続き,3,0.02,7.89,0.07,1.0
所,3,0.02,5.26,0.07,1.5
やっぱ,3,0.02,5.26,0.07,1.5
でも,3,0.02,7.89,0.07,1.0
美味かっ,3,0.02,5.26,0.07,1.5
細,3,0.02,5.26,0.07,1.5
家,3,0.02,5.26,0.07,1.5
濃い,3,0.02,7.89,0.07,1.0
凄かっ,3,0.02,7.89,0.07,1.0
お願い,3,0.02,7.89,0.07,1.0
代表,3,0.02,5.26,0.07,1.5
はら,3,0.02,7.89,0.07,1.0
何故か,3,0.02,7.89,0.07,1.0
紐,3,0.02,5.26,0.07,1.5
いくつ,3,0.02,7.89,0.07,1.0
空気,3,0.02,7.89,0.07,1.0
山葵,3,0.02,7.89,0.07,1.0
合わせ,3,0.02,7.89,0.07,1.0
唐津,3,0.02,5.26,0.07,1.5
皿,3,0.02,7.89,0.07,1.0
大阪,3,0.02,7.89,0.07,1.0
剥がし,3,0.02,5.26,0.07,1.5
丁寧,3,0.02,7.89,0.07,1.0
滑らか,3,0.02,7.89,0.07,1.0
入る,3,0.02,7.89,0.07,1.0
後味,3,0.02,5.26,0.07,1.5
深く,3,0.02,7.89,0.07,1.0
どの,3,0.02,7.89,0.07,1.0
大きく,3,0.02,7.89,0.07,1.0
合う,3,0.02,7.89,0.07,1.0
それでも,3,0.02,5.26,0.07,1.5
当たり前,3,0.02,5.26,0.07,1.5
気軽,3,0.02,7.89,0.07,1.0
感謝,3,0.02,5.26,0.07,1.5
大きな,3,0.02,7.89,0.07,1.0
本日,3,0.02,5.26,0.07,1.5
160,3,0.02,5.26,0.07,1.5
墨烏賊,3,0.02,5.26,0.07,1.5
流石,3,0.02,7.89,0.07,1.0
間違い,3,0.02,7.89,0.07,1.0
